chrname,book,book.id,book.json,names in book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Lottie Legh,A Little Princess,a_little_princess.book,,Lottie,2,1,2,2,5,3,2.5,2,4.5,0.372194443,-0.64874621,-1.378476614,-1.293930126,0.014501334
Maria Minchin,A Little Princess,a_little_princess.book,,Miss Minchin,2,2,1,2,5,1.166666667,4.666666667,3,2.166666667,0.372194443,-1.604999543,-0.137442981,-0.666930943,-1.403632633
Ram Dass,A Little Princess,a_little_princess.book,,Ram Dass/Ram,1,1,2,2,4.75,7,7,7,6.25,0.231718589,1.437624697,1.199054778,1.841065788,1.07810181
Sara Crewe,A Little Princess,a_little_princess.book,,Sara,2,1,1,2,4.166666667,6,6.111111111,6,6.5,-0.096058404,0.91603197,0.689912775,1.214066605,1.230044735
Becky,A Little Princess,a_little_princess.book,,Becky,2,1,2,2,3,7,6.166666667,4.5,4.666666667,-0.75161239,1.437624697,0.72173415,0.273567831,0.115796618
Ermengarde St. John,A Little Princess,a_little_princess.book,,Ermengarde,2,1,2,2,4.25,5.75,1.75,2.5,2.5,-0.049233119,0.785633788,-1.808065179,-0.980430534,-1.201042066
Lucy Honeychurch,A Room with a View,a_room_with_a_view.book,,Lucy,2,1,1,1,5.8125,5.125,4.125,3.8125,6.375,0.82874097,0.459638334,-0.447701389,-0.157494107,1.154073273
Mr. Emerson (George Emerson's father),A Room with a View,a_room_with_a_view.book,,Mr. Emerson,1,1,2,1,7,5,2,4,7,1.496001277,0.394439243,-1.66486899,-0.03993176,1.533930585
Cecil Vyse,A Room with a View,a_room_with_a_view.book,,Cecil,1,2,1,1,5,1.5,7,4.5,2.5,0.372194443,-1.431135301,1.199054778,0.273567831,-1.201042066
Freddy Honeychurch,A Room with a View,a_room_with_a_view.book,,Freddy,1,1,2,1,5.5,4.5,2.5,6.5,6.5,0.653146152,0.13364288,-1.378476614,1.527566197,1.230044735
George Emerson,A Room with a View,a_room_with_a_view.book,,George,1,1,2,1,4.75,5.25,3.75,3.75,7,0.231718589,0.524837425,-0.662495672,-0.196681556,1.533930585
Lucie Manette,A Tale of Two Cities,a_tale_of_two_cities.book,,Lucie/Miss Manette,2,1,1,1,3,6.75,6.5,3.25,2.25,-0.75161239,1.307226515,0.912662401,-0.510181147,-1.352984991
Madame Therese Defarge,A Tale of Two Cities,a_tale_of_two_cities.book,,Madame Defarge/Madame,2,2,1,1,5,1,4.75,2.25,3.75,0.372194443,-1.691931664,-0.089710918,-1.13718033,-0.441327441
Sydney Carton,A Tale of Two Cities,a_tale_of_two_cities.book,,Sydney Carton/Mr. Carton,1,1,1,1,1,7,5.495,5.495,2.495,-1.875419223,1.437624697,0.337013724,0.897432018,-1.204080925
Jarvis Lorry,A Tale of Two Cities,a_tale_of_two_cities.book,,Mr. Lorry/Mr. Jarvis Lorry/Jarvis Lorry/Jarvis,1,1,2,1,3,6,7,7,3.5,-0.75161239,0.91603197,1.199054778,1.841065788,-0.593270366
Charles Darnay,A Tale of Two Cities,a_tale_of_two_cities.book,,Darnay/Charles Darnay/Charles/Mr. Darnay/Mr. Charles Darnay,1,1,1,1,7,7,4,4,4,1.496001277,1.437624697,-0.519299483,-0.03993176,-0.289384516
Adam Bede,Adam Bede,adam_bede.book,,Adam/Adam Bede,1,1,1,2,3.25,5,7,6.25,3.25,-0.611136536,0.394439243,1.199054778,1.370816401,-0.745213291
Hester Sorrel,Adam Bede,adam_bede.book,,Hetty/Hetty Sorrel,2,2,1,2,4.5,5,3,3.5,3.666666667,0.091242735,0.394439243,-1.092084237,-0.353431352,-0.491975083
Rosalie Murray,Agnes Grey,agnes_grey.book,,Rosalie/Rosalie Murray/Miss Murray,2,1,2,2,7,1.5,2.5,4.5,4,1.496001277,-1.431135301,-1.378476614,0.273567831,-0.289384516
Agnes Grey,Agnes Grey,agnes_grey.book,,I/Miss Grey,2,1,1,2,1.5,5.5,7,4,5.5,-1.594467515,0.655235607,1.199054778,-0.03993176,0.622273035
Edward Weston,Agnes Grey,agnes_grey.book,,Edward/Edward Weston/Mr. Weston,1,1,2,2,3.5,7,5.5,5.5,3.5,-0.470660681,1.437624697,0.339877647,0.900567014,-0.593270366
