chrname,book,chrsex,valence,salience,authrsex,ae,aa,ac,as,ao,zae,zaa,zac,zas,zao
Abel Magwitch (Mr. Provis),-,1,1,2,1,4.5,5,3.5,5,3.5,0.091242735,0.394439243,-0.80569186,0.587067423,-0.593270366
Adam Bede,-,1,1,1,2,3.25,5,7,6.25,3.25,-0.611136536,0.394439243,1.199054778,1.370816401,-0.745213291
Adam Verver,-,1,1,2,1,4.75,4.75,7,7,6.25,0.231718589,0.264041061,1.199054778,1.841065788,1.07810181
Adele Varens,jane_eyre.book,2,1,2,2,7,5.75,2,3.75,4.2475,1.496001277,0.785633788,-1.66486899,-0.196681556,-0.13896102
Admiral Croft,-,1,1,2,2,7,7,5.75,6.25,4.5,1.496001277,1.437624697,0.483073836,1.370816401,0.014501334
Agnes Grey,Agnes_Grey,2,1,1,2,1.5,5.5,7,4,5.5,-1.594467515,0.655235607,1.199054778,-0.03993176,0.622273035
Alan Breck Stewart (Mr. Thomson),-,1,1,2,1,6.5,4,3,3,5.5,1.215049568,-0.127153484,-1.092084237,-0.666930943,0.622273035
Alan Campbell,The_Picture_of_Dorian_Grey.book,1,1,2,1,1,4,7,3.5,4,-1.875419223,-0.127153484,1.199054778,-0.353431352,-0.289384516
Alec d'Urberville,Tess of d'Urbervilles,1,2,1,1,5.333333333,2.666666667,3.5,4.166666667,3.833333333,0.559495582,-0.822610453,-0.80569186,0.064568104,-0.390679799
Alice,alice_in_wonderland.book,2,1,1,1,5.138888889,4.527777778,4.610833333,4.416666667,6.027777778,0.450236585,0.148131567,-0.169423463,0.221317899,0.943041432
Alice Vavasor,-,2,1,1,1,1.75,6.75,5.125,2.875,6.625,-1.453991661,1.307226515,0.125083365,-0.745305841,1.306016198
Allan Quatermain,-,1,1,1,1,5.666666667,4.666666667,7,5.166666667,6.166666667,0.746796721,0.220575001,1.199054778,0.691567286,1.027454168
Alton Locke,-,1,1,1,1,2.5,5.5,6,3,6,-1.032564098,0.655235607,0.626270024,-0.666930943,0.926158885
Amelia Sedley,-,2,1,1,1,1.5,6.5,5.5,3.5,2,-1.594467515,1.176828333,0.339877647,-0.353431352,-1.504927917
Amy Edmonstone,-,2,1,2,2,4,6.5,5.165,3.5,4,-0.189708973,1.176828333,0.147994755,-0.353431352,-0.289384516
Angel Clare,-,1,1,2,1,5,5,5.75,3.5,4.25,0.372194443,0.394439243,0.483073836,-0.353431352,-0.137441591
Anna Tellwright,-,2,1,1,1,1,6.5,6.5,5,5,-1.875419223,1.176828333,0.912662401,0.587067423,0.318387185
Anne Catherick,-,2,2,2,1,3,4.5,2.5,1,5,-0.75161239,0.13364288,-1.378476614,-1.920929308,0.318387185
Anne Elliot,Persuasion,2,1,1,2,1.863484848,6.620909091,6.696818182,5.211969697,5.075151515,-1.390224137,1.239893636,1.025396855,0.719972249,0.364062149
Arabella Donn,-,2,,,1,6.75,4.5,1.5,4.5,5.25,1.355525423,0.13364288,-1.951261367,0.273567831,0.47033011
Archibald Craven,The_Secret_Garden,1,,,2,1,4,4.5,2.5,3,-1.875419223,-0.127153484,-0.232907106,-0.980430534,-0.897156216
Arthur Clennam,-,1,1,1,1,1,6.5,7,5.5,5.5,-1.875419223,1.176828333,1.199054778,0.900567014,0.622273035
Arthur Holmwood,-,1,1,2,1,7,6.5,4.5,4.5,4.5,1.496001277,1.176828333,-0.232907106,0.273567831,0.014501334
Arthur Huntingdon,The_Tenant_of_Wildfell_Hall,1,,,2,6.75,1.5,1.25,5,2.75,1.355525423,-1.431135301,-2.094457556,0.587067423,-1.049099141
Augusta Elton,Emma,2,2,1,2,6.928571429,1.5,4.070714286,2.785714286,3.214285714,1.455865318,-1.431135301,-0.478795418,-0.801287911,-0.766919423
Austin Ruthyn (Maud Ruthyn's father),-,1,1,2,1,1.5,3.5,4,4,4,-1.594467515,-0.387949847,-0.519299483,-0.03993176,-0.289384516
Austin Sloper,-,1,2,1,1,3.5,1,6,7,5,-0.470660681,-1.691931664,0.626270024,1.841065788,0.318387185
Bagheera,-,1,1,2,1,3.5,2.5,7,4,1.5,-0.470660681,-0.909542574,1.199054778,-0.03993176,-1.808813767
Barkis,-,1,1,2,1,3,5.75,6,6,1.75,-0.75161239,0.785633788,0.626270024,1.214066605,-1.656870842
Baroness Beatrix Bernstein (sister of Rachel Esmond),-,2,1,2,1,6.5,4,4,5,4,1.215049568,-0.127153484,-0.519299483,0.587067423,-0.289384516
Baroness Eugenia of Silberstadt-Schr,-,2,1,1,1,4,3.25,4.75,4.75,5.5,-0.189708973,-0.518348029,-0.089710918,0.430317627,0.622273035
Basil Hallward,The_Picture_of_Dorian_Grey.book,1,1,2,1,3.74875,5.75,5.25,2.625,6,-0.330887207,0.785633788,0.196681459,-0.902055636,0.926158885
Becky,-,2,1,2,2,3,7,6.166666667,4.5,4.666666667,-0.75161239,1.437624697,0.72173415,0.273567831,0.115796618
Belinda,-,2,1,1,2,3,6.5,7,5,4.5,-0.75161239,1.176828333,1.199054778,0.587067423,0.014501334
Ben Weatherstaff,The_Secret_Garden,1,1,2,2,1.5,4.5,6,6,3,-1.594467515,0.13364288,0.626270024,1.214066605,-0.897156216
Bertha Rochester,jane_eyre.book,2,2,1,2,3.642857143,2.714285714,2.357142857,1.5,3.714285714,-0.390388765,-0.797772704,-1.460303007,-1.607429717,-0.463033573
Biddy,-,2,1,2,1,2.5,7,6.5,6,1,-1.032564098,1.437624697,0.912662401,1.214066605,-2.112699617
Bill Sikes,oliver_twist.book,1,,,1,4.75,1.5,3.5,2.25,3.5,0.231718589,-1.431135301,-0.80569186,-1.13718033,-0.593270366
Blanche Ingram,jane_eyre.book,2,,,2,6.75,1.75,5,5.5,2,1.355525423,-1.300737119,0.053485271,0.900567014,-1.504927917
Bob Jakin,-,1,1,2,2,7,5,7,7,7,1.496001277,0.394439243,1.199054778,1.841065788,1.533930585
Bradley Headstone,-,1,2,1,1,1.25,1.75,6.25,1.75,2.25,-1.734943369,-1.300737119,0.769466213,-1.450679921,-1.352984991
Burgo Fitzgerald,-,1,2,1,1,6,6,1,5.5,3.5,0.93409786,0.91603197,-2.237653744,0.900567014,-0.593270366
Captain Benwick,Persuasion,1,1,2,2,1,7,4,2,4.75,-1.875419223,1.437624697,-0.519299483,-1.293930126,0.166444259
Captain Frederick Tilney,-,1,2,2,2,4.5,3,6.5,7,5,0.091242735,-0.64874621,0.912662401,1.841065788,0.318387185
Captain Rawdon Crawley,-,1,,,1,4.75,6,2.25,5.5,3.5,0.231718589,0.91603197,-1.521672802,0.900567014,-0.593270366
Captain Tom Mac Whirr,-,1,1,1,1,1,2,5.5,4.5,1.5,-1.875419223,-1.170338937,0.339877647,0.273567831,-1.808813767
Captain Wentworth,Persuasion,1,,,2,4.1875,5.561875,6.436875,5.186875,5.5,-0.084352083,0.687509156,0.876505363,0.704237895,0.622273035
Captain William Dobbin,-,1,1,2,1,3.25,6.5,6.25,6.5,4.75,-0.611136536,1.176828333,0.769466213,1.527566197,0.166444259
Caroline Bingley,pride_and_prejudice,2,2,1,2,5.5,1.5,5,4.25,3.5,0.653146152,-1.431135301,0.053485271,0.116818036,-0.593270366
Caroline Jellyby (Caddy),-,2,1,2,1,5,3.5,6.5,3,5.5,0.372194443,-0.387949847,0.912662401,-0.666930943,0.622273035
Carry Brattle (Jacob Brattle's daughter),-,2,1,2,1,3,6,2.5,2.5,5,-0.75161239,0.91603197,-1.378476614,-0.980430534,0.318387185
Catherine Arrowpoint,Daniel_Deronda,2,1,2,2,1.5,6.5,7,6.5,6.5,-1.594467515,1.176828333,1.199054778,1.527566197,1.230044735
Catherine Earnshaw (later Linton),wuthering_heights,2,1,1,2,6.368421053,2.973684211,3.052368421,2.447368421,6.026315789,1.141114908,-0.662472335,-1.062088404,-1.013430491,0.942152877
Catherine Morland,Northanger_Abbey,2,1,1,2,5.35,5.9995,4.4,3.5,5.35,0.568860639,0.915771174,-0.290185582,-0.353431352,0.53110728
Catherine Sloper,Washington_Sqaure,2,1,1,1,1,6,5,5,2.5,-1.875419223,0.91603197,0.053485271,0.587067423,-1.201042066
Cathy Linton,wuthering_heights,2,1,1,2,1.5,7,4,4.5,4,-1.594467515,1.437624697,-0.519299483,0.273567831,-0.289384516
Cecil Vyse,A_Room_with_a_View,1,2,1,1,5,1.5,7,4.5,2.5,0.372194443,-1.431135301,1.199054778,0.273567831,-1.201042066
Chadwick (Chad) Newsome,The_Ambassadors,1,1,2,1,7,6.5,2.5,5,3.5,1.496001277,1.176828333,-1.378476614,0.587067423,-0.593270366
